run,beam_width,beam_length,dtype,nmax_length,greedy,steps,prompt_length,prompt_and_generated_length,comprehension_and_generation_time
0,1,2,mlx.core.float16,200,True,126,66,266,5418.158459000551
0,1,3,mlx.core.float16,200,True,110,66,266,4126.645083000767
0,1,4,mlx.core.float16,200,True,93,66,266,3611.351833998924
0,1,5,mlx.core.float16,200,True,85,66,266,3474.571457998536
0,2,2,mlx.core.float16,200,True,115,66,266,4219.682332999582
0,2,3,mlx.core.float16,200,True,100,66,266,3822.8958340005192
0,2,4,mlx.core.float16,200,True,84,66,266,3430.9736670002167
0,2,5,mlx.core.float16,200,True,81,66,266,3503.121874999124
0,3,2,mlx.core.float16,200,True,113,66,266,4101.914584000042
0,3,3,mlx.core.float16,200,True,93,66,266,3628.2395839989476
0,3,4,mlx.core.float16,200,True,82,66,266,3422.5143329986167
0,3,5,mlx.core.float16,200,True,78,66,266,3470.241042001362
0,4,2,mlx.core.float16,200,True,111,66,266,4089.9076660007267
0,4,3,mlx.core.float16,200,True,92,66,266,3664.768083001036
0,4,4,mlx.core.float16,200,True,82,66,266,6765.637374999642
0,4,5,mlx.core.float16,200,True,78,66,266,6724.838833999456
0,1,2,mlx.core.bfloat16,200,True,126,66,266,5202.769999999873
0,1,3,mlx.core.bfloat16,200,True,105,66,266,4284.703249999438
0,1,4,mlx.core.bfloat16,200,True,101,66,266,4281.809500000236
0,1,5,mlx.core.bfloat16,200,True,101,66,266,4479.456791001212
0,2,2,mlx.core.bfloat16,200,True,117,66,266,4672.048917000211
0,2,3,mlx.core.bfloat16,200,True,96,66,266,4048.580167000182
0,2,4,mlx.core.bfloat16,200,True,91,66,266,4071.2897920002433
0,2,5,mlx.core.bfloat16,200,True,91,66,266,4302.142707998428
0,3,2,mlx.core.bfloat16,200,True,113,66,266,4521.345584000301
0,3,3,mlx.core.bfloat16,200,True,91,66,266,3912.933042000077
0,3,4,mlx.core.bfloat16,200,True,83,66,266,3801.1508750005305
0,3,5,mlx.core.bfloat16,200,True,90,66,266,4354.985584001042
0,4,2,mlx.core.bfloat16,200,True,113,66,266,4574.3451670005015
0,4,3,mlx.core.bfloat16,200,True,90,66,266,3939.873165998506
0,4,4,mlx.core.bfloat16,200,True,82,66,266,7584.970249999969
0,4,5,mlx.core.bfloat16,200,True,78,66,266,7601.725333999639
0,1,2,mlx.core.float16,200,False,198,66,266,7175.05195800004
0,1,3,mlx.core.float16,200,False,112,66,266,4208.255665998877
0,1,4,mlx.core.float16,200,False,92,66,266,3637.291417000597
0,1,5,mlx.core.float16,200,False,97,66,266,4024.0144159997726
0,2,2,mlx.core.float16,200,False,117,66,266,4283.1537919992115
0,2,3,mlx.core.float16,200,False,99,66,266,3856.563208000807
0,2,4,mlx.core.float16,200,False,98,66,266,4051.0320409994165
0,2,5,mlx.core.float16,200,False,87,66,266,3823.463000000629
0,3,2,mlx.core.float16,200,False,114,66,266,4205.261999999493
0,3,3,mlx.core.float16,200,False,88,66,266,3497.440999999526
0,3,4,mlx.core.float16,200,False,88,66,266,3733.7018749985873
0,3,5,mlx.core.float16,200,False,72,66,266,3283.892208999532
0,4,2,mlx.core.float16,200,False,116,66,266,4338.166875000752
0,4,3,mlx.core.float16,200,False,88,66,266,3574.194249998982
0,4,4,mlx.core.float16,200,False,71,66,266,5977.234166000926
0,4,5,mlx.core.float16,200,False,69,66,266,6018.25320900025
0,1,2,mlx.core.bfloat16,200,False,196,66,266,7544.507750000776
0,1,3,mlx.core.bfloat16,200,False,113,66,266,4633.38554099937
0,1,4,mlx.core.bfloat16,200,False,105,66,266,4530.191750000085
0,1,5,mlx.core.bfloat16,200,False,94,66,266,4262.46191700011
0,2,2,mlx.core.bfloat16,200,False,119,66,266,4774.632124999698
0,2,3,mlx.core.bfloat16,200,False,98,66,266,4198.361208000279
0,2,4,mlx.core.bfloat16,200,False,92,66,266,4189.575790998788
0,2,5,mlx.core.bfloat16,200,False,87,66,266,4199.1513749999285
0,3,2,mlx.core.bfloat16,200,False,113,66,266,4590.088124999966
0,3,3,mlx.core.bfloat16,200,False,92,66,266,4007.0203750001383
0,3,4,mlx.core.bfloat16,200,False,86,66,266,3994.5095410002978
0,3,5,mlx.core.bfloat16,200,False,82,66,266,4052.4290000012115
0,4,2,mlx.core.bfloat16,200,False,113,66,266,4638.839416000337
0,4,3,mlx.core.bfloat16,200,False,85,66,266,3776.7554160000145
0,4,4,mlx.core.bfloat16,200,False,82,66,266,7689.752874999613
0,4,5,mlx.core.bfloat16,200,False,90,66,266,8786.631209000916
