run,dtype,comprehension_mlx,generation_mlx,comprehension_ours,generation_ours
0,mlx.core.float16,124.75350000022445,4921.404000000621,111.23283400047512,5025.698708999698
0,mlx.core.bfloat16,200.70504199975403,5086.021000000983,196.30783299908217,5168.389708000177
1,mlx.core.float16,110.9525419997226,4919.629083999098,110.99220899995998,5015.336707998358
1,mlx.core.bfloat16,208.3200000015495,5072.071624999808,224.23650000018824,5169.170874998599
