run,beam_width,beam_length,dtype,nmax_length,greedy,steps,prompt_length,prompt_and_generated_length,comprehension_and_generation_time
0,2,2,mlx.core.bfloat16,200,False,119,66,266,9525.902415974997
0,2,3,mlx.core.bfloat16,200,False,99,66,266,8653.150834026746
0,2,4,mlx.core.bfloat16,200,False,92,66,266,8694.967624964193
0,2,5,mlx.core.bfloat16,200,False,87,66,266,8903.585082967766
0,3,2,mlx.core.bfloat16,200,False,113,66,266,9166.309207910672
0,3,3,mlx.core.bfloat16,200,False,92,66,266,8237.252500024624
0,3,4,mlx.core.bfloat16,200,False,83,66,266,8060.301374993287
0,3,5,mlx.core.bfloat16,200,False,86,66,266,8999.883124954067
0,4,2,mlx.core.bfloat16,200,False,113,66,266,9243.061208049767
0,4,3,mlx.core.bfloat16,200,False,85,66,266,7732.911000028253
0,4,4,mlx.core.bfloat16,200,False,82,66,266,11688.096666010097
0,4,5,mlx.core.bfloat16,200,False,90,66,266,14491.365708992817
1,1,2,mlx.core.float16,200,True,126,66,266,8750.63633301761
1,1,3,mlx.core.float16,200,True,110,66,266,8139.8089999565855
1,1,4,mlx.core.float16,200,True,93,66,266,7715.6078750267625
1,1,5,mlx.core.float16,200,True,85,66,266,7507.812208030373
1,2,2,mlx.core.float16,200,True,115,66,266,9057.773582986556
1,2,3,mlx.core.float16,200,True,100,66,266,8627.135999966413
1,2,4,mlx.core.float16,200,True,84,66,266,7896.497791050933
1,2,5,mlx.core.float16,200,True,79,66,266,8088.200291967951
1,3,2,mlx.core.float16,200,True,113,66,266,9008.05274990853
1,3,3,mlx.core.float16,200,True,94,66,266,8334.331333055161
1,3,4,mlx.core.float16,200,True,84,66,266,8134.449000004679
1,3,5,mlx.core.float16,200,True,78,66,266,8217.419916996732
1,4,2,mlx.core.float16,200,True,111,66,266,8988.709875033237
1,4,3,mlx.core.float16,200,True,92,66,266,8300.923167029396
1,4,4,mlx.core.float16,200,True,83,66,266,10712.61762501672
1,4,5,mlx.core.float16,200,True,78,66,266,11644.826959003694
1,1,2,mlx.core.bfloat16,200,True,126,66,266,10106.50174994953
1,1,3,mlx.core.bfloat16,200,True,105,66,266,8890.243791975081
1,1,4,mlx.core.bfloat16,200,True,101,66,266,8985.605416004546
1,1,5,mlx.core.bfloat16,200,True,101,66,266,9419.735125033185
1,2,2,mlx.core.bfloat16,200,True,117,66,266,9846.325542079285
1,2,3,mlx.core.bfloat16,200,True,96,66,266,8846.655083005317
1,2,4,mlx.core.bfloat16,200,True,93,66,266,9226.456583011895
1,2,5,mlx.core.bfloat16,200,True,91,66,266,9795.276709017344
1,3,2,mlx.core.bfloat16,200,True,113,66,266,9622.565291938372
1,3,3,mlx.core.bfloat16,200,True,92,66,266,8703.77549994737
1,3,4,mlx.core.bfloat16,200,True,83,66,266,8499.30566700641
1,3,5,mlx.core.bfloat16,200,True,90,66,266,9912.37745899707
1,4,2,mlx.core.bfloat16,200,True,113,66,266,9731.623042025603
1,4,3,mlx.core.bfloat16,200,True,90,66,266,8591.203332995065
1,4,4,mlx.core.bfloat16,200,True,82,66,266,12019.847499905154
1,4,5,mlx.core.bfloat16,200,True,78,66,266,13065.183124970645
1,1,2,mlx.core.float16,200,False,198,66,266,14729.49175001122
1,1,3,mlx.core.float16,200,False,112,66,266,8897.542375023477
1,1,4,mlx.core.float16,200,False,92,66,266,7751.884332974441
1,1,5,mlx.core.float16,200,False,97,66,266,8595.44679208193
1,2,2,mlx.core.float16,200,False,117,66,266,9265.644334023818
1,2,3,mlx.core.float16,200,False,99,66,266,8581.156541011296
1,2,4,mlx.core.float16,200,False,98,66,266,9284.015959012322
1,2,5,mlx.core.float16,200,False,87,66,266,8935.702208080329
1,3,2,mlx.core.float16,200,False,114,66,266,9179.148958064616
1,3,3,mlx.core.float16,200,False,101,66,266,8994.648874970153
1,3,4,mlx.core.float16,200,False,88,66,266,8609.86170801334
1,3,5,mlx.core.float16,200,False,72,66,266,7679.255000082776
1,4,2,mlx.core.float16,200,False,116,66,266,9445.21266699303
1,4,3,mlx.core.float16,200,False,88,66,266,8015.166959026828
1,4,4,mlx.core.float16,200,False,71,66,266,9304.962415946648
1,4,5,mlx.core.float16,200,False,69,66,266,10339.594417018816
1,1,2,mlx.core.bfloat16,200,False,196,66,266,15735.792667022906
1,1,3,mlx.core.bfloat16,200,False,113,66,266,9683.348833001219
1,1,4,mlx.core.bfloat16,200,False,105,66,266,9086.360208922997
1,1,5,mlx.core.bfloat16,200,False,94,66,266,8438.136874930933
1,2,2,mlx.core.bfloat16,200,False,119,66,266,9587.068167049438
1,2,3,mlx.core.bfloat16,200,False,98,66,266,8609.990083030425
1,2,4,mlx.core.bfloat16,200,False,89,66,266,8471.93145903293
1,2,5,mlx.core.bfloat16,200,False,87,66,266,8968.817459070124
1,3,2,mlx.core.bfloat16,200,False,113,66,266,9228.997458005324
1,3,3,mlx.core.bfloat16,200,False,92,66,266,8286.628625006415
1,3,4,mlx.core.bfloat16,200,False,86,66,266,8383.754083071835
1,3,5,mlx.core.bfloat16,200,False,82,66,266,8656.336207990535
1,4,2,mlx.core.bfloat16,200,False,113,66,266,9304.072000086308
1,4,3,mlx.core.bfloat16,200,False,85,66,266,7776.91858401522
1,4,4,mlx.core.bfloat16,200,False,82,66,266,11711.304290918633
1,4,5,mlx.core.bfloat16,200,False,90,66,266,14543.04116696585
