run,dtype,comprehension_mlx,generation_mlx,comprehension_ours,generation_ours
0,mlx.core.float16,855.3974999999809,32205.26808300002,625.2939999999967,32254.323875000013
0,mlx.core.bfloat16,1667.6786250000077,32129.55958400005,1275.1158329999726,32191.220166999985
1,mlx.core.float16,519.5145829999888,30498.18812500001,501.68929199998047,30716.318916999968
1,mlx.core.bfloat16,1145.0806249999914,30767.95937500003,1217.3725000000104,31038.61674999996
