run,beam_width,beam_length,dtype,nmax_length,greedy,steps,prompt_length,prompt_and_generated_length,comprehension_and_generation_time
0,4,3,mlx.core.float16,200,False,88,66,266,23953.898041
0,4,4,mlx.core.float16,200,False,71,66,266,21923.85720900006
0,4,5,mlx.core.float16,200,False,69,66,266,22292.916833000163
0,1,2,mlx.core.bfloat16,200,False,196,66,266,43240.98329200001
0,1,3,mlx.core.bfloat16,200,False,113,66,266,27305.49216700001
0,1,4,mlx.core.bfloat16,200,False,105,66,266,26886.74362500001
0,1,5,mlx.core.bfloat16,200,False,94,66,266,25520.39062499989
0,2,2,mlx.core.bfloat16,200,False,119,66,266,27427.285499999925
0,2,3,mlx.core.bfloat16,200,False,98,66,266,24728.114416999917
0,2,4,mlx.core.bfloat16,200,False,88,66,266,24111.95758299982
0,2,5,mlx.core.bfloat16,200,False,87,66,266,25358.06516699995
0,3,2,mlx.core.bfloat16,200,False,113,66,266,26833.681332999957
0,3,3,mlx.core.bfloat16,200,False,92,66,266,24173.811416999797
0,3,4,mlx.core.bfloat16,200,False,86,66,266,24655.762833000153
0,3,5,mlx.core.bfloat16,200,False,82,66,266,25399.412041000232
0,4,2,mlx.core.bfloat16,200,False,113,66,266,25601.250207999783
0,4,3,mlx.core.bfloat16,200,False,85,66,266,19800.72004199974
0,4,4,mlx.core.bfloat16,200,False,82,66,266,24212.222457999815
0,4,5,mlx.core.bfloat16,200,False,90,66,266,27503.78683300005
1,1,2,mlx.core.float16,200,True,126,66,266,23576.34512499999
1,1,3,mlx.core.float16,200,True,110,66,266,22126.130832999934
1,1,4,mlx.core.float16,200,True,93,66,266,19986.790792000193
1,1,5,mlx.core.float16,200,True,85,66,266,19409.478791999845
1,2,2,mlx.core.float16,200,True,115,66,266,22356.95537499987
1,2,3,mlx.core.float16,200,True,100,66,266,21165.197541999987
1,2,4,mlx.core.float16,200,True,84,66,266,19299.975915999767
1,2,5,mlx.core.float16,200,True,79,66,266,19411.257917000057
1,3,2,mlx.core.float16,200,True,113,66,266,22610.394541999995
1,3,3,mlx.core.float16,200,True,93,66,266,20536.255874999824
1,3,4,mlx.core.float16,200,True,83,66,266,19947.15779099988
1,3,5,mlx.core.float16,200,True,78,66,266,20270.47249999987
1,4,2,mlx.core.float16,200,True,111,66,266,22884.313624999777
1,4,3,mlx.core.float16,200,True,92,66,266,21063.06266699994
1,4,4,mlx.core.float16,200,True,83,66,266,22348.913541
1,4,5,mlx.core.float16,200,True,78,66,266,22012.3575409998
1,1,2,mlx.core.bfloat16,200,True,126,66,266,23913.08079199962
